currency,estruct,ecase,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FAM,A1_2CH_67,CZ	531.67 	1530.12 	1576.49 	1491.12 	1451.57 	1411.17 	1615.42 	1534.33 	1135.83 	1216.44 	1156.50 	1168.31 	1207.83 	1033.64 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,DE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,DK	9353.97 	9167.73 	9071.83 	8892.17 	8792.99 	8243.67 	8028.43 	7847.96 	7671.70 	7542.88 	7402.79 	7227.31 	6995.49 	6781.98 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EA17	: 	1458.35 	1415.26 	1396.93 	1399.71 	1422.91 	1338.39 	1257.91 	1154.33 	1111.83 	1093.48 	1077.38 	1046.74 	998.12 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EA18	: 	1458.42 	1407.76 	1389.77 	1391.84 	1408.52 	1379.67 	1362.47 	1376.68 	1378.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EA19	: 	1457.54 	1410.67 	1392.80 	1395.06 	1411.63 	1383.32 	1351.59 	1365.54 	1367.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EE	920.64 	920.64 	920.64 	920.64 	920.33 	: 	58.82 	920.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,ES	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EU15	: 	1681.84 	1720.54 	1673.47 	1673.41 	1662.33 	1663.95 	1693.67 	1681.00 	1671.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
